CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ano
180,MT,83994,A,4.0,0,,1.78432,1.1667,0.0455,Azul,515,,0.0,2019
1,LC,66641,A,7.0,0,,2.31503,0.45154,0.171,AZUL,577,0.0,0.0,2020
2,LC,112060,A,8.0,0,,3.07686,0.1948,0.16639,AZUL,577,0.0,0.0,2020
3,LC,98143,E,8.0,0,,1.81272,2.02318,0.12074,AZUL,577,0.0,0.0,2020
4,LC,60777,D,5.0,0,,2.4824,1.238,0.1645,AZUL,577,0.0,0.0,2020
5,LC,112080,C,6.0,0,,2.30083,0.76945,0.17272,AZUL,577,0.0,0.0,2020
6,LC,63448,C,19.0,0,,3.18825,1.2588,0.17432,AZUL,577,,0.0,2020
7,LC,112130,E,25.0,0,,2.15389,1.14557,0.10595,AZUL,577,,0.0,2020
8,LC,21377,A,14.0,0,,1.72932,1.85051,0.14869,AZUL,577,,0.0,2020
9,LC,112138,A,20.0,0,,1.52123,1.91811,0.18523,AZUL,577,,0.0,2020
10,LC,112059,C,23.0,0,,1.10742,1.64,0.25509,AZUL,577,,0.0,2020
11,LC,96433,B,16.0,0,,1.93001,1.02406,0.14189,AZUL,577,,0.0,2020
12,LC,112112,A,20.0,0,,1.74167,1.51202,0.24386,AZUL,577,,0.0,2020
13,LC,112089,E,28.0,0,,1.60955,0.26979,0.20531,AZUL,577,,0.0,2020
14,LC,89327,B,12.0,0,,1.57221,2.74643,0.22189,AZUL,577,,0.0,2020
15,LC,89906,B,9.0,0,,2.90947,-0.40822,0.1293,AZUL,577,,0.0,2020
16,LC,96861,E,17.0,0,,2.41993,1.10401,0.14865,AZUL,577,,0.0,2020
17,LC,59955,D,10.0,0,,1.68626,0.30607,0.14643,AZUL,577,,0.0,2020
18,LC,17055,A,16.0,0,,1.35608,1.44454,0.23512,AZUL,577,,0.0,2020
19,LC,111819,C,4.0,0,,2.86286,1.44944,0.21361,AZUL,577,,0.0,2020
20,LC,52618,D,29.0,0,,3.21497,0.54565,0.16443,AZUL,577,,0.0,2020
